Part #,SKU,Name,Category,Katana Type,Katana Subtype,Has BOM,Sellable,Notes,Is Subassembly
10218,SOL-SOF-NTK-GUL-ST2,"Solerno Sofa, Seagull, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seagull fabric, pillow back",No
10219,SOL-SOF-NTK-BSQ-ST1,"Solerno Sofa, Bisque, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Bisque fabric, foam back",No
10220,SOL-SOF-NTK-BSQ-ST2,"Solerno Sofa, Bisque, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Bisque fabric, pillow back",No
10221,SOL-SOF-NTK-SEA-ST1,"Solerno Sofa, Seaglass, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seaglass fabric, foam back",No
10222,SOL-SOF-NTK-SEA-ST2,"Solerno Sofa, Seaglass, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seaglass fabric, pillow back",No
10223,SOL-SOF-NTK-SND-ST1,"Solerno Sofa, Sand, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sand fabric, foam back",No
10224,SOL-SOF-NTK-SND-ST2,"Solerno Sofa, Sand, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sand fabric, pillow back",No
10225,SOL-SOF-NTK-ALO-ST1,"Solerno Sofa, Aloe, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Aloe fabric, foam back",No
10226,SOL-SOF-NTK-ALO-ST2,"Solerno Sofa, Aloe, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Aloe fabric, pillow back",No
10227,SOL-SOF-NTK-JAV-ST1,"Solerno Sofa, Java, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Java fabric, foam back",No
10228,SOL-SOF-NTK-JAV-ST2,"Solerno Sofa, Java, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Java fabric, pillow back",No
10229,SOL-SOF-NTK-DEW-ST1,"Solerno Sofa, Dewdrop, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dewdrop fabric, foam back",No
10230,SOL-SOF-NTK-DEW-ST2,"Solerno Sofa, Dewdrop, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dewdrop fabric, pillow back",No
10231,SOL-SOF-NTK-EMB-ST1,"Solerno Sofa, Ember, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Ember fabric, foam back",No
10232,SOL-SOF-NTK-EMB-ST2,"Solerno Sofa, Ember, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Ember fabric, pillow back",No
10301,SOL-CHS-NTK-CBN-ST1,"Solerno Chaise Lounge, Carbon, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Carbon fabric, foam back",No
10302,SOL-CHS-NTK-CBN-ST2,"Solerno Chaise Lounge, Carbon, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Carbon fabric, pillow back",No
10303,SOL-CHS-NTK-IND-ST1,"Solerno Chaise Lounge, Indigo, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Indigo fabric, foam back",No
10304,SOL-CHS-NTK-IND-ST2,"Solerno Chaise Lounge, Indigo, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Indigo fabric, pillow back",No
10305,SOL-CHS-NTK-DOV-ST1,"Solerno Chaise Lounge, Dove, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dove fabric, foam back",No
10306,SOL-CHS-NTK-DOV-ST2,"Solerno Chaise Lounge, Dove, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dove fabric, pillow back",No
10307,SOL-CHS-NTK-CHR-ST1,"Solerno Chaise Lounge, Charcoal, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Charcoal fabric, foam back",No
10308,SOL-CHS-NTK-CHR-ST2,"Solerno Chaise Lounge, Charcoal, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Charcoal fabric, pillow back",No
10309,SOL-CHS-NTK-LEF-ST1,"Solerno Chaise Lounge, Leaf, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Leaf fabric, foam back",No
10310,SOL-CHS-NTK-LEF-ST2,"Solerno Chaise Lounge, Leaf, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Leaf fabric, pillow back",No
10311,SOL-CHS-NTK-SBL-ST1,"Solerno Chaise Lounge, Sable, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sable fabric, foam back",No
10312,SOL-CHS-NTK-SBL-ST2,"Solerno Chaise Lounge, Sable, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sable fabric, pillow back",No
10313,SOL-CHS-NTK-SLT-ST1,"Solerno Chaise Lounge, Salt, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Salt fabric, foam back",No
10314,SOL-CHS-NTK-SLT-ST2,"Solerno Chaise Lounge, Salt, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Salt fabric, pillow back",No
10315,SOL-CHS-NTK-SAH-ST1,"Solerno Chaise Lounge, Sahara, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sahara fabric, foam back",No
10316,SOL-CHS-NTK-SAH-ST2,"Solerno Chaise Lounge, Sahara, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sahara fabric, pillow back",No
10317,SOL-CHS-NTK-GUL-ST1,"Solerno Chaise Lounge, Seagull, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seagull fabric, foam back",No
10318,SOL-CHS-NTK-GUL-ST2,"Solerno Chaise Lounge, Seagull, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seagull fabric, pillow back",No
10319,SOL-CHS-NTK-BSQ-ST1,"Solerno Chaise Lounge, Bisque, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Bisque fabric, foam back",No
10320,SOL-CHS-NTK-BSQ-ST2,"Solerno Chaise Lounge, Bisque, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Bisque fabric, pillow back",No
10321,SOL-CHS-NTK-SEA-ST1,"Solerno Chaise Lounge, Seaglass, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seaglass fabric, foam back",No
10322,SOL-CHS-NTK-SEA-ST2,"Solerno Chaise Lounge, Seaglass, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seaglass fabric, pillow back",No
10323,SOL-CHS-NTK-SND-ST1,"Solerno Chaise Lounge, Sand, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sand fabric, foam back",No
10324,SOL-CHS-NTK-SND-ST2,"Solerno Chaise Lounge, Sand, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sand fabric, pillow back",No
10325,SOL-CHS-NTK-ALO-ST1,"Solerno Chaise Lounge, Aloe, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Aloe fabric, foam back",No
10326,SOL-CHS-NTK-ALO-ST2,"Solerno Chaise Lounge, Aloe, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Aloe fabric, pillow back",No
10327,SOL-CHS-NTK-JAV-ST1,"Solerno Chaise Lounge, Java, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Java fabric, foam back",No
10328,SOL-CHS-NTK-JAV-ST2,"Solerno Chaise Lounge, Java, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Java fabric, pillow back",No
10329,SOL-CHS-NTK-DEW-ST1,"Solerno Chaise Lounge, Dewdrop, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dewdrop fabric, foam back",No
10330,SOL-CHS-NTK-DEW-ST2,"Solerno Chaise Lounge, Dewdrop, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dewdrop fabric, pillow back",No
10331,SOL-CHS-NTK-EMB-ST1,"Solerno Chaise Lounge, Ember, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Ember fabric, foam back",No
10332,SOL-CHS-NTK-EMB-ST2,"Solerno Chaise Lounge, Ember, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Ember fabric, pillow back",No
10401,SOL-SVL-NTK-CBN-ST1,"Solerno Swivel Chair, Carbon, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Carbon fabric, foam back",No
10402,SOL-SVL-NTK-CBN-ST2,"Solerno Swivel Chair, Carbon, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Carbon fabric, pillow back",No
10403,SOL-SVL-NTK-IND-ST1,"Solerno Swivel Chair, Indigo, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Indigo fabric, foam back",No
10404,SOL-SVL-NTK-IND-ST2,"Solerno Swivel Chair, Indigo, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Indigo fabric, pillow back",No
10405,SOL-SVL-NTK-DOV-ST1,"Solerno Swivel Chair, Dove, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dove fabric, foam back",No
10406,SOL-SVL-NTK-DOV-ST2,"Solerno Swivel Chair, Dove, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dove fabric, pillow back",No
10407,SOL-SVL-NTK-CHR-ST1,"Solerno Swivel Chair, Charcoal, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Charcoal fabric, foam back",No
10408,SOL-SVL-NTK-CHR-ST2,"Solerno Swivel Chair, Charcoal, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Charcoal fabric, pillow back",No
10409,SOL-SVL-NTK-LEF-ST1,"Solerno Swivel Chair, Leaf, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Leaf fabric, foam back",No
